Date,Open*,High,Low,Close**,Volume,Market Cap
3/6/2022,$0.05,$0.05,$0.05,$0.05,"$15,914,785","$537,651,562"
3/5/2022,$0.05,$0.06,$0.05,$0.05,"$20,027,804","$570,287,104"
3/4/2022,$0.06,$0.06,$0.05,$0.05,"$24,606,708","$547,418,242"
3/3/2022,$0.06,$0.06,$0.06,$0.06,"$24,192,757","$597,666,202"
3/2/2022,$0.06,$0.06,$0.06,$0.06,"$30,747,738","$626,398,127"
3/1/2022,$0.06,$0.06,$0.06,$0.06,"$36,123,440","$653,452,803"
2/28/2022,$0.06,$0.06,$0.06,$0.06,"$36,303,083","$655,229,329"
2/27/2022,$0.06,$0.06,$0.05,$0.06,"$29,172,515","$585,260,649"
2/26/2022,$0.06,$0.06,$0.06,$0.06,"$27,210,325","$607,447,137"
2/25/2022,$0.05,$0.06,$0.05,$0.06,"$34,061,704","$613,302,033"
2/24/2022,$0.05,$0.06,$0.05,$0.05,"$61,326,936","$570,997,395"
2/23/2022,$0.05,$0.06,$0.05,$0.05,"$32,749,427","$556,558,410"
2/22/2022,$0.05,$0.05,$0.05,$0.05,"$41,019,886","$574,340,927"
2/21/2022,$0.06,$0.06,$0.05,$0.05,"$44,150,018","$536,947,415"
2/20/2022,$0.06,$0.06,$0.06,$0.06,"$33,033,320","$597,371,301"
2/19/2022,$0.06,$0.06,$0.06,$0.06,"$25,529,899","$635,866,923"
2/18/2022,$0.06,$0.06,$0.06,$0.06,"$32,272,317","$635,306,314"
2/17/2022,$0.07,$0.07,$0.06,$0.06,"$32,927,197","$643,286,964"
2/16/2022,$0.07,$0.07,$0.07,$0.07,"$27,786,466","$708,101,650"
2/15/2022,$0.07,$0.07,$0.07,$0.07,"$30,339,737","$731,806,053"
2/14/2022,$0.07,$0.07,$0.06,$0.07,"$27,856,957","$694,892,259"
2/13/2022,$0.07,$0.07,$0.06,$0.07,"$26,821,098","$681,863,028"
2/12/2022,$0.07,$0.07,$0.06,$0.07,"$34,038,689","$704,651,333"
2/11/2022,$0.07,$0.07,$0.07,$0.07,"$50,531,965","$697,895,757"
2/10/2022,$0.08,$0.08,$0.07,$0.07,"$49,946,101","$751,521,174"
2/9/2022,$0.08,$0.08,$0.07,$0.08,"$30,137,673","$798,220,516"
2/8/2022,$0.08,$0.08,$0.07,$0.08,"$49,355,836","$805,596,240"
2/7/2022,$0.08,$0.08,$0.07,$0.08,"$42,770,316","$814,557,302"
2/6/2022,$0.08,$0.08,$0.07,$0.08,"$35,154,318","$791,459,950"
2/5/2022,$0.07,$0.08,$0.07,$0.08,"$35,085,099","$785,749,658"
2/4/2022,$0.07,$0.07,$0.07,$0.07,"$31,526,783","$755,476,940"
2/3/2022,$0.07,$0.07,$0.06,$0.07,"$25,528,780","$697,727,286"
